e35be9ae-f9ac-4113-8ada-61e1737c11d7,	3,	10,	5,	
6e993df1-cbb6-4f7b-ab4a-7c4660979021,	9,	10,	5,	
70d578f7-e6ba-4cf5-bdc6-a5af6beee7fe,	3,	10,	5,	
e1373435-8a8f-4eff-905b-be2bfef9b3b3,	2,	10,	5,	
b211f254-2d7f-49fc-9520-b300ba614a40,	7,	10,	5,	
137ba440-fb93-4e7c-b8f4-a61aeceb5ded,	7,	11,	5,	
e66e8af6-ef3e-4fb3-b039-631dbfc16bbc,	5,	11,	5,	
194e0ad8-678d-46ec-b08b-dd3a453c7026,	3,	11,	5,	
6c6b7d6a-8309-4472-aeb9-8c88c57dd641,	1,	12,	6,	
2a933db8-68b3-4f07-ae99-ad7660ee9f02,	6,	12,	6,	
da29dfbf-1d46-43b9-9512-596777538899,	3,	12,	6,	
43b9bd7d-077d-463a-91f1-e492079cb4c4,	2,	12,	6,	
43320437-b0e3-4269-8221-494ee2860db8,	8,	13,	6,	
7cd8269a-95d0-4405-8cc4-a1c456cde779,	3,	13,	6,	
aee63cb4-d491-4b7d-99ed-15cd9b14ca9b,	4,	13,	6,	
3d4940c2-bc50-4672-960b-f8cc82f7b04d,	0,	14,	7,	
5a725681-bff8-4b6e-9a83-f4407cc4aa08,	1,	14,	7,	
7905d25f-e46f-4db7-8667-a8805f10f481,	7,	14,	7,	
5383b3f1-73a8-4f63-b060-c6291b1c8bbc,	3,	15,	7,	
df337171-d410-4c38-9b9a-b5936048dc4a,	1,	15,	7,	
fc8f15ef-42db-4692-8a84-fdc1c1b397cc,	3,	16,	8,	
23d4a4b1-0a22-421d-b09e-7d59ce98f4a2,	1,	16,	8,	
f69a2296-01df-40db-a464-de6aecce3268,	7,	16,	8,	
bbd4e975-fc60-4f39-bcfa-195aa4d4508d,	9,	17,	8,	
bc6d49b5-8a6e-4c10-bda8-49a03c64da86,	6,	17,	8,	
02dda87e-c7bb-4e0e-95bb-c2ac3984190d,	7,	18,	9,	
e212d712-3135-429b-8e03-c24208ffb106,	8,	18,	9,	
2f1d103b-7262-4a29-9f71-747c14bc6e54,	6,	19,	9,	
fb16ccb6-2847-4eb7-b711-0f8389fe542f,	8,	19,	9,	
e911ef90-64e8-4130-85bd-e03fd98bd4bb,	9,	19,	9,	
3bf0d823-d573-4df7-949c-020413258eb8,	4,	20,	10,	
b32b4e52-933a-4ad5-8b0e-33a64b5131a4,	3,	20,	10,	
8b13254d-e4dc-4dd0-af02-6a8af83f732c,	5,	21,	10,	
18708dd7-2179-4636-be1a-9b4426b7d029,	9,	21,	10,	
dc709d68-c7fd-4e0e-823e-4af8d7599182,	8,	22,	11,	
84900e13-7005-4dda-a11c-153bd217eebd,	0,	23,	11,	
15da9902-d8fc-4340-887f-dfb04cea57d2,	4,	23,	11,	
95a880a7-912d-4662-842b-d5271857ae9b,	3,	24,	12,	
0d8817cf-d749-453c-9b0c-37724e07a865,	5,	24,	12,	
e7ea9ba3-e55a-4c10-bcfe-c6541175bf22,	8,	25,	12,	
6dabf7c7-ee8f-440e-8ca2-4ff66db55a63,	8,	25,	12,	
d98abd09-99c5-47f8-9e38-e42405132c06,	0,	26,	13,	
adb7f21a-a3a0-43a3-a281-eb7d9d03ddf8,	1,	27,	13,	
c0b1f7d9-cbb9-4c41-b0f9-23e199412d43,	4,	27,	13,	
1ba7e9be-2f27-4ab0-b3fe-8c7c08627e86,	3,	28,	14,	
4e794110-b792-457e-a93b-688666562915,	8,	29,	14,	
55868693-0008-4619-a1d7-e3d101979b54,	4,	29,	14,	
7138b3e4-e6d5-4132-948e-55afa1c8a81e,	7,	30,	15,	
d6749f2a-25b4-4d1c-9085-5637dd03f09a,	3,	31,	15,	
d9b4bfbb-d6bd-466d-96fb-2a28e58a1335,	1,	32,	16,	
10a39fb6-4123-444f-94d5-11769d5dcd96,	0,	32,	16,	
85bf5518-48dd-4480-b4c0-75f134da98e2,	0,	33,	16,	
2444901b-e815-421c-a959-73cd99f6e690,	7,	34,	17,	
4ff6e2b6-cc02-476a-a48a-d875fc8fe644,	2,	35,	17,	
f38ea4b4-00f3-4ef6-ab23-d05912299bbb,	1,	36,	18,	
a2e7f737-11bc-410b-a87d-576585671a7a,	9,	37,	18,	
b4301aa0-21f9-4bdb-bfbe-c53b2428a01e,	1,	37,	18,	
38f21069-871d-4b74-9916-d61c34c0a498,	9,	38,	19,	
8de50c6e-3b7e-4400-a9d7-a013e1bb7515,	0,	39,	19,	
18d7a2cd-e4ea-4872-a5da-739d02d69804,	4,	40,	20,	
0809caf4-cfce-4a5a-a88c-40220a59892d,	5,	41,	20,	
b200e548-afa6-46d7-892d-990c33b433b0,	2,	42,	21,	
fe422da6-ba00-41bc-bf98-7946f9273f12,	8,	43,	21,	
7f471113-379c-41ba-8f46-dbda87c3b7fa,	1,	44,	22,	
5472d05b-2788-408c-b55b-b7439851a78b,	5,	45,	22,	
8d4d6bb2-c32c-4747-82a6-dc3c7baa6425,	8,	47,	23,	
fe748365-570b-4c2b-b1d4-2991864f8052,	2,	48,	24,	
30edb05a-4e43-411b-b009-56a82e73d74d,	0,	49,	24,	
f85f74a8-fd20-47db-bb6c-65fa4c90652a,	1,	50,	25,	
